target,AUC,EF_0.5%,EF_1%,EF_2%,EF_8%,EF_20%,BEDROC_¦Á=20,BEDROC_¦Á=80.5,BEDROC_¦Á=321.0
src,0.745,17.6,13.01,9.29,4.31,2.52,0.28,0.218,0.307
tgfr1,0.943,58.84,52.05,34.13,10.16,4.36,0.772,0.759,0.889
thb,0.86,57.8,37.09,20.36,7.04,3.69,0.53,0.519,0.742
thrb,0.828,46.94,31.3,18.58,7.39,3.61,0.526,0.502,0.748
try1,0.921,58.36,49.63,32.25,9.77,4.29,0.756,0.763,0.94
tryb1,0.718,36.42,22.93,13.49,4.81,2.47,0.374,0.402,0.692
tysy,0.825,31.37,23.07,18.78,7.11,3.72,0.483,0.411,0.529
urok,0.923,61.75,58.66,34.58,10.03,4.32,0.779,0.806,0.967
vgfr2,0.794,23.9,15.67,11.24,5.14,3.06,0.348,0.284,0.422
wee1,0.99,61.27,61.27,48.53,12.38,4.95,0.984,0.985,0.999
xiap,0.933,52.44,52.44,44.45,11.24,4.5,0.911,0.948,0.998
